Location,Coordinates,Date,Description,Weaponry,Casulties,Shot Down
Menara,"33.1969, 35.5439",11-04-2024,"On 11 April 2024, Hezbollah forces in Lebanon fired two projectiles toward the Ramim Ridge, near Menara (Zefat, HaZafon). No interceptions or direct hits to populated areas were reported, as the projectiles likely fell in open areas near Menara.",projectile,0,0
Kiryat Shmona,"33.2073, 35.572",10-04-2024,"On 10 April 2024, Hezbollah forces in Lebanon fired two rockets toward Kiryat Shmona (Zefat, HaZafon). One rocket was intercepted by the iron dome and the second fell in an open area near Kiryat Shmona. In retaliation, Israeli military forces struck the launch sites.",rockets,0,0
Shlomi,"33.0726, 35.1458",09-04-2024,"On 9 April 2024, Hezbollah forces in Lebanon fired five rockets toward the Western Galilee, causing sirens to sound in Shlomi (Akko, HaZafon), Betzet, and Rosh HaNikra. The rockets fell in open areas, some likely near Shlomi.",rockets,0,0
Betzet,"33.0714, 35.1347",09-04-2024,"On 9 April 2024, Hezbollah forces in Lebanon fired five rockets toward the Western Galilee, causing sirens to sound in Shlomi, Betzet (Akko, HaZafon), and Rosh HaNikra. The rockets fell in open areas, some likely near Betzet.",rockets,0,0
Rosh HaNikra,"33.0861, 35.1135",09-04-2024,"On 9 April 2024, Hezbollah forces in Lebanon fired five rockets toward the Western Galilee, causing sirens to sound in Shlomi, Betzet, and Rosh HaNikra (Akko, HaZafon). The rockets fell in open areas, some likely near Rosh HaNikra.",rockets,0,0
Misgav Am,"33.2474, 35.5489",09-04-2024,"On 9 April 2024, Hezbollah forces in Lebanon fired two projectiles toward Misgav Am (Zefat, HaZafon). The projectiles fell in open areas near Misgav Am.",projectile,0,0
Yaara,"33.0675, 35.187",08-04-2024,"On 8 April 2024, Hezbollah forces in Lebanon fired about 15 rockets toward Hanita, Yaara (Akko, HaZafon), and Adamit. The rockets fell in open areas, some likely near Yaara.",rockets,0,0
Adamit,"33.0797, 35.211",08-04-2024,"On 8 April 2024, Hezbollah forces in Lebanon fired about 15 rockets toward Hanita, Yaara, and Adamit (Akko, HaZafon). The rockets fell in open areas, some likely near Adamit.",rockets,0,0
Rosh HaNikra,"33.0861, 35.1135",08-04-2024,"On 8 April 2024, Hezbollah forces in Lebanon launched an \",unknown,0,0
Metulla,"33.2792, 35.5795",08-04-2024,"Interception: On 8 April 2024, Israeli military forces intercepted a likely armed \",unknown,0,0
Hanita,"33.0875, 35.1736",08-04-2024,"On 8 April 2024, Hezbollah forces in Lebanon fired about 15 rockets toward Hanita (Akko, HaZafon), Yaara, and Adamit. The rockets fell in open areas, some likely near Hanita.",rockets,0,0
Safed,"32.9647, 35.496",07-04-2024,"Interception: On 7 April 2024, Hezbollah forces in Lebanon fired a projectile toward Safed (Zefat, HaZafon) and surrounding areas. The projectile was intercepted by the iron dome over the area of Safed.",projectile,0,0
Menara,"33.1969, 35.5439",07-04-2024,"On 7 April 2024, Hezbollah forces in Lebanon fired a number of rockets toward Menara (Zefat, HaZafon) and surrounding areas. No interceptions or direct hits to populated areas were reported, as the rockets fell in open areas near Menara. In retaliation, Israeli military forces struck the launch sites.",rockets,0,0
Shlomi,"33.0726, 35.1458",06-04-2024,"On 6 April 2024, Hezbollah forces in Lebanon fired three rockets toward Shlomi (Akko, HaZafon). One of the rockets fell in Shlomi. No casualties or damages were reported, as the rocket likely fell in an open area.",rockets,0,0
Shlomi,"33.0726, 35.1458",06-04-2024,"On 6 April 2024, Hezbollah forces in Lebanon fired three rockets toward Shlomi (Akko, HaZafon). One of the rockets fell in Shlomi, while the other two likely fell in open areas near Shlomi.",rockets,0,0
Adamit,"33.0797, 35.211",06-04-2024,"On 6 April 2024, Hezbollah forces in Lebanon fired several rockets toward Adamit (Akko, HaZafon) and surrounding towns. The rockets fell in open areas near Adamit.",rockets,0,0
Even Menahem,"33.0742, 35.294",06-04-2024,"On 6 April 2024, Hezbollah forces in Lebanon fired rockets toward Even Menahem (Akko, HaZafon) and surrounding areas. No interceptions or direct hits to populated areas were reported, as the rockets likely fell in open areas near Even Menahem.",rockets,0,0
Rosh HaNikra,"33.0861, 35.1135",06-04-2024,"On 6 April 2024, Hezbollah forces in Lebanon fired a rocket toward Rosh HaNikra (Akko, HaZafon). The rocket fell in an open area near Rosh HaNikra.",unknown,0,0
Shetula,"33.0852, 35.3149",06-04-2024,"On 6 April 2024, Hezbollah forces in Lebanon fired five rockets toward Shetula (Akko, HaZafon). No interceptions or direct hits to populated areas were reported, as the rockets likely fell in open areas near Shetula.",rockets,0,0
Dishon,"33.0814, 35.5174",05-04-2024,"On 5 April 2024, Hezbollah forces in Lebanon fired seven rockets toward Malkiyya (Zefat, HaZafon) and Dishon. The rockets fell in open areas near Malkiyya and Dishon.",rockets,0,0
Malkiyya,"33.0983, 35.5108",05-04-2024,"On 5 April 2024, Hezbollah forces in Lebanon fired seven rockets toward Malkiyya (Zefat, HaZafon) and Dishon. The rockets fell in open areas near Malkiyya and Dishon.",rockets,0,0
Metulla,"33.2792, 35.5795",05-04-2024,"On 5 April 2024, Hezbollah forces in Lebanon fired an anti-tank missile toward Metulla (Zefat, HaZafon). As a result of a direct hit near Metulla, an IDF soldier was lightly injured. In retaliation, Israeli military forces struck the launch sites with artillery fire.",anti-tank,0,0
Zarit,"33.0996, 35.2889",05-04-2024,"On 5 April 2024, Hezbollah forces in Lebanon fired an anti-tank missile at Zarit (Akko, HaZafon). No interceptions or direct hits to populated areas were reported, as the missile likely fell in an open area in Zarit.",anti-tank,0,0
Hanita,"33.0875, 35.1736",05-04-2024,"Interception: On 5 April 2024, Israeli military forces intercepted a \",unknown,0,0
Menara,"33.1969, 35.5439",05-04-2024,"On 5 April 2024, Hezbollah forces in Lebanon fired at least three rockets toward Kiryat Shmona, Menara (Zefat, HaZafon), and surrounding towns. The rockets fell in open areas near Kiryat Shmona and Menara.",rockets,0,0
Kiryat Shmona,"33.2073, 35.572",05-04-2024,"On 5 April 2024, Hezbollah forces in Lebanon fired at least three rockets toward Kiryat Shmona (Zefat, HaZafon), Menara, and surrounding towns. The rockets fell in open areas near Kiryat Shmona.",rockets,0,0
Shlomi,"33.0726, 35.1458",04-04-2024,"On 4 April 2024, Hezbollah forces in Lebanon fired several rockets toward Shlomi (Akko, HaZafon), Betzet, and surrounding areas. One of the rockets hit a house in Shlomi, causing property damage. No casualties occurred. In retaliation, Israeli military forces struck the launch sites with artillery fire.",rockets,0,0
Betzet,"33.0714, 35.1347",04-04-2024,"On 4 April 2024, Hezbollah forces in Lebanon fired several rockets toward Shlomi, Betzet (Akko, HaZafon), and surrounding areas. One of the rockets fell in Shlomi, while the rest fell in open areas, likely in the area of Betzet. In retaliation, Israeli military forces struck the launch sites with artillery fire.",rockets,0,0
Mattat,"33.0413, 35.3586",03-04-2024,"On 3 April 2024, Hezbollah forces in Lebanon fired about seven rockets toward Mattat (Akko, HaZafon) and surrounding towns. The rockets fell in open areas near Mattat.",rockets,0,0
Metulla,"33.2792, 35.5795",03-04-2024,"On 3 April 2024, Hezbollah forces in Lebanon fired an anti-tank missile at Metulla (Zefat, HaZafon). The missile hit a home in the town, causing property damage. No casualties occurred. In retaliation, Israeli military forces struck Hezbollah sites in Lebanon.",anti-tank,0,0
Shomera,"33.0827, 35.2838",03-04-2024,"On 3 April 2024, Hezbollah forces in Lebanon fired at least five rockets toward Shomera (Akko, HaZafon), Netu\",rockets,0,0
Misgav Am,"33.2474, 35.5489",03-04-2024,"On 3 April 2024, Hezbollah forces in Lebanon fired at least one rocket toward Misgav Am (Zefat, HaZafon) and surrounding communities. No interceptions or direct hits to populated areas were reported, as the rocket likely fell in an open area near Misgav Am.",unknown,0,0
Shlomi,"33.0726, 35.1458",02-04-2024,"On 2 April 2024, Hezbollah forces in Lebanon fired at least ten rockets toward Nahariyya, Shlomi (Akko, HaZafon), Yaara and surrounding towns. Two of the rockets were intercepted, while the rest fell in open areas, some likely near Shlomi. In retaliation, Israeli military forces struck the launch sites.",rockets,0,0
Yaara,"33.0675, 35.187",02-04-2024,"On 2 April 2024, Hezbollah forces in Lebanon fired at least ten rockets toward Nahariyya, Shlomi, Yaara (Akko, HaZafon), and surrounding towns. Two of the rockets were intercepted, while the rest fell in open areas, some likely near Yaara. In retaliation, Israeli military forces struck the launch sites.",rockets,0,0
Nahariyya,"33.0089, 35.0981",02-04-2024,"On 2 April 2024, Hezbollah forces in Lebanon fired at least ten rockets toward Nahariyya (Akko, HaZafon), Shlomi, Yaara, and surrounding towns. Two of the rockets were intercepted, while the rest fell in open areas, some likely near Nahariyya. In retaliation, Israeli military forces struck the launch sites.",rockets,0,0
Margaliyyot,"33.2147, 35.5449",02-04-2024,"On 2 April 2024, Hezbollah forces in Lebanon fired rockets toward Margaliyyot (Zefat, HaZafon). No interceptions or direct hits to populated areas were reported, as the rockets likely fell in open areas near Margaliyyot.",rockets,0,0
Beit Hillel,"33.2086, 35.607",02-04-2024,"On 2 April 2024, Hezbollah forces in Lebanon fired rockets toward Bet Hillel (Zefat, HaZafon) and surrounding towns. No interceptions or direct hits to populated areas were reported, as the rockets likely fell in open areas near Bet Hillel.",rockets,0,0
Malkiyya,"33.0983, 35.5108",01-04-2024,"Interception: On 1 April 2024, sirens sounded for a hostile aircraft infiltration in Malkiyya (Zefat, HaZafon) and surrounding towns. The IDF stated that \",unknown,0,0
Rosh HaNikra,"33.0861, 35.1135",01-04-2024,"On 1 April 2024, Hezbollah forces in Lebanon fired about five rockets toward the western Galilee, causing sirens to sound in Rosh HaNikra (Akko, HaZafon) and surrounding towns. The rockets fell in open areas, likely near Rosh HaNikra.",rockets,0,0
Menara,"33.1969, 35.5439",01-04-2024,"On 1 April 2024, Hezbollah forces in Lebanon fired several rockets toward Menara (Zefat, HaZafon). No interceptions or direct hits to populated areas were reported, as the rockets likely fell in open areas near Menara. In retaliation, Israeli military forces struck the launch sites.",rockets,0,0
Aramsha,"33.0878, 35.2284",31-03-2024,"On 31 March 2024, Hezbollah forces in Lebanon fired several rockets toward Aramsha (Akko, HaZafon). Some of the rockets were intercepted, while others likely fell in open areas near Aramsha.",rockets,0,0
Malkiyya,"33.0983, 35.5108",31-03-2024,"On 31 March 2024, Hezbollah forces in Lebanon fired rockets toward Malkiyya (Zefat, HaZafon). No interceptions or direct hits to populated areas were reported, as the rockets likely fell in open areas near Malkiyya. In retaliation, Israeli military forces struck the launch sites.",rockets,0,0
Metulla,"33.2792, 35.5795",31-03-2024,"On 31 March 2024, Hezbollah forces in Lebanon fired five rockets toward Metulla (Zefat, HaZafo). No interceptions or direct hits to populated areas were reported, as the rockets likely fell in open areas near Metulla.",rockets,0,0
Margaliyyot,"33.2147, 35.5449",31-03-2024,"On 31 March 2024, Hezbollah forces in Lebanon fired at least three rockets toward Margaliyyot (Zefat, HaZafon), Kiryat Shmona, and surrounding areas. As a result, an IDF soldier was lightly wounded near Margaliyyot. In retaliation, Israeli military forces struck the launch sites.",rockets,0,0
Kiryat Shmona,"33.2073, 35.572",31-03-2024,"On 31 March 2024, Hezbollah forces in Lebanon fired at least three rockets toward Margaliyyot, Kiryat Shmona (Zefat, HaZafon), and surrounding areas. As a result, an IDF soldier was lightly wounded near Margaliyyot. Other rockets fell near Kiryat Shmona, likely in open areas. In retaliation, Israeli military forces struck the launch sites.",rockets,0,0
Adamit,"33.0797, 35.211",30-03-2024,"On 30 March 2024, Hezbollah forces in Lebanon fired two rockets toward Adamit (Akko, HaZafon). The two rockets hit chicken coops in Adamit, causing damage. No casualties occurred.",rockets,0,0
Malkiyya,"33.0983, 35.5108",30-03-2024,"On 30 March 2024, Israeli military forces reported that two \",unknown,0,0
Margaliyyot,"33.2147, 35.5449",30-03-2024,"On 30 March 2024, Hezbollah forces in Lebanon fired a rocket toward Margaliyyot (Zefat, HaZafon). The rocket fell in an open area in Margaliyyot.",unknown,0,0
Kefar Weradim,"32.9939, 35.2779",30-03-2024,"On 30 March 2024, Israeli military forces reported that two \",unknown,0,0
Menara,"33.1969, 35.5439",30-03-2024,"On 30 March 2024, Hezbollah forces in Lebanon fired a rocket toward the Ramim Ridge, near Menara (Zefat, HaZafon). No interceptions or direct hits to populated areas were reported, as the rocket likely fell in an open area near Menara.",unknown,0,0
Shlomi,"33.0726, 35.1458",29-03-2024,"On 29 March 2024, Hezbollah forces in Lebanon fired a rocket toward Shlomi (Akko, HaZafon) and surrounding towns. The rocket fell in an open area near Shlomi.",unknown,0,0
Baram,"33.0592, 35.4338",29-03-2024,"On 29 March 2024, Hezbollah forces in Lebanon fired rockets toward Baram (Zefat, HaZafon) and surrounding towns. No interceptions or direct hits to populated areas were reported, as the rockets likely fell in open areas near Baram.",rockets,0,0
Mattat,"33.0413, 35.3586",29-03-2024,"On 29 March 2024, Hezbollah forces in Lebanon fired an anti-tank missile toward Mattat (Akko, HaZafon). The missile fell in an open area near Mattat.",anti-tank,0,0
Biranit,"33.0583, 35.3415",29-03-2024,"On 29 March 2024, Hezbollah forces in Lebanon fired two burkan missiles toward an IDF base in the area of Biranit (Akko, HaZafon). No interceptions or direct hits to populated areas were reported, as the missiles likely fell in open areas near Biranit. In retaliation, Israeli military forces struck the launch site.",missiles,0,0
Malkiyya,"33.0983, 35.5108",29-03-2024,"On 29 March 2024, Hezbollah forces in Lebanon fired rockets toward Malkiyya (Zefat, HaZafon). No interceptions or direct hits to populated areas were reported, as the rockets likely fell in open areas near Malkiyya.",rockets,0,0
Metulla,"33.2792, 35.5795",29-03-2024,"On 29 March 2024, Hezbollah forces in Lebanon fire rockets toward Metulla (Zefat, HaZafon). At least one rocket fell in an in open area near Metulla.",rockets,0,0
Margaliyyot,"33.2147, 35.5449",29-03-2024,"On 29 March 2024, Hezbollah forces in Lebanon fire rockets toward Margaliyyot (Zefat, HaZafon). At least one rocket fell in an open area near Margaliyyot.",rockets,0,0
Kiryat Shmona,"33.2073, 35.572",29-03-2024,"Interception: On 29 March 2024, Israeli military forces intercepted a \",unknown,0,0
Shlomi,"33.0726, 35.1458",28-03-2024,"On 28 March 2024, Hezbollah forces in Lebanon fired rockets toward Shlomi (Akko, HaZafon) and surrounding areas several times throughout the day. One of the rockets hit a house in Shlomi, causing property damage. No casualties occurred. In retaliation, Israeli military forces attacked the launch sites.",rockets,0,0
Shlomi,"33.0726, 35.1458",28-03-2024,"On 28 March 2024, Hezbollah forces in Lebanon fired rockets toward Shlomi (Akko, HaZafon) and surrounding areas several times throughout the day. At least nine rockets were intercepted and one of the rockets fell in Shlomi. At least three other rockets fell in open areas near Shlomi. In retaliation, Israeli military forces attacked the launch sites.",rockets,0,0
Goren,"33.0566, 35.2377",28-03-2024,"On 28 March 2024, Hezbollah forces in Lebanon fired rockets toward Goren (Akko, HaZafon) and surrounding towns. One of the rockets hit a house in Goren, causing property damage. No casualties occurred. In retaliation, Israeli military forces attacked the launch sites.",rockets,0,0
Goren,"33.0566, 35.2377",28-03-2024,"On 28 March 2024, Hezbollah forces in Lebanon fired rockets toward Goren (Akko, HaZafon) and surrounding towns. Some of the rockets were intercepted, while one rocket fell in Goren. The rest of the rockets likely fell in open areas near Goren. In retaliation, Israeli military forces attacked the launch sites.",rockets,0,0
Rosh HaNikra,"33.0861, 35.1135",28-03-2024,"On 28 March 2024, Hezbollah forces in Lebanon fired rockets toward Rosh HaNikra (Akko, HaZafon) and surrounding areas. No interceptions or direct hits to populated areas were reported, as the rockets likely fell in open areas near Rosh HaNikra.",rockets,0,0
Hanita,"33.0875, 35.1736",28-03-2024,"On 28 March 2024, Hezbollah forces in Lebanon fired rockets toward northern Israel, including Shlomi, Hanita (Akko, HaZafon) and surrounding towns. One rocket fell in Shlomi, while at least nine rockets were intercepted, and at least three fell in open areas near Hanita and Shlomi. In retaliation, Israeli military forces attacked the launch sites.",rockets,0,0
Rosh HaNikra,"33.0861, 35.1135",27-03-2024,"Defusal: On 27 March 2024, Israeli military forces found a drone -- likely armed -- that crashed near Rosh HaNikra (Akko, HaZafon). Israeli troops safely defused and removed the drone. The drone was launched by Hezbollah forces in Lebanon, though it is unclear when the drone was launched.",drone,0,0
Shetula,"33.0852, 35.3149",27-03-2024,"On 27 March 2024, Hezbollah forces in Lebanon fired four rockets toward Shetula (Akko, HaZafon). The rockets fell in open areas near Shetula.",rockets,0,0
Menara,"33.1969, 35.5439",27-03-2024,"On 27 March 2024, Hezbollah forces in Lebanon fired rockets toward the Ramim Ridge, near Menara (Zefat, HaZafon), and surrounding areas. The rockets fell in open areas near Menara.",rockets,0,0
Kiryat Shmona,"33.2073, 35.572",27-03-2024,"On 27 March 2024, Hezbollah forces in Lebanon fired about 30 rockets toward Kiryat Shmona (Zefat, HaZafon) and surrounding towns. Some of the rockets were intercepted by the iron dome and at least three rockets fell in Kiryat Shmona. One of the rockets hit an industrial building, killing a Druze civilian and causing property damage. One other person was injured. Other buildings and cars were also damaged due to direct hits. Hezbollah forces stated that they launched the rockets in response to an Israeli strike in Lebanon that killed seven.",rockets,1,0
Kiryat Shmona,"33.2073, 35.572",27-03-2024,"On 27 March 2024, Hezbollah forces in Lebanon fired about 30 rockets toward Kiryat Shmona (Zefat, HaZafon) and surrounding towns. Some of the rockets were intercepted by the iron dome and at least three rockets fell in Kiryat Shmona. The rest of the rockets likely fell in open areas near Kiryat Shmona. Hezbollah forces stated that they launched the rockets in response to an Israeli strike in Lebanon that killed seven.",rockets,1,0
Shlomi,"33.0726, 35.1458",26-03-2024,"On 26 March 2024, Hezbollah forces in Lebanon fired two rockets toward Shlomi (Akko, HaZafon) and Betzet. One rocket fell in an open area in Shlomi. In response, Israeli military forces attacked the launch sites.",rockets,0,0
Avivim,"33.0889, 35.4723",26-03-2024,"On 26 March 2024, Hezbollah forces in Lebanon fired three anti-tank missiles at Avivim (Zefat, HaZafon). At least two of the missiles hit a vineyard in the town, causing a fire. No casualties occurred. In response, Israeli military forces attacked the launch sites.",missiles,0,0
Betzet,"33.0714, 35.1347",26-03-2024,"On 26 March 2024, Hezbollah forces in Lebanon fired two rockets toward Shlomi and Betzet (Akko, HaZafon). One of the rockets hit a home in Betzet, causing property damage. No casualties occurred. In response, Israeli military forces attacked the launch sites.",rockets,0,0
Hanita,"33.0875, 35.1736",26-03-2024,"On 26 March 2024, Hezbollah forces in Lebanon fired five projectiles toward Hanita (Akko, HaZafon). The projectiles fell in open areas near Hanita.",projectile,0,0
Shetula,"33.0852, 35.3149",26-03-2024,"On 26 March 2024, Hezbollah forces in Lebanon fired rockets toward Shetula (Akko, HaZafon). No interceptions or direct hits to populated areas were reported, as the rockets likely fell in open areas near Shetula.",rockets,0,0
Mount Meron Base,"32.9975, 35.4123",26-03-2024,"On 26 March 2024, Hezbollah forces in Lebanon fired several projectiles, including anti-tank missiles, toward an IDF base on Mount Meron (Akko, HaZafon). At least one of the rockets fell in Mount Meron, but the IDF stated that the rockets \",rockets,0,0
Ramot Naftali,"33.1015, 35.5532",26-03-2024,"On 26 March 2024, Hezbollah forces in Lebanon fired at least 50 rockets toward the Golan Heights and northern Israel, causing sirens to sound in Ramot Naftali (Zefat, HaZafon) and other surrounding towns in the Upper Galilee. Hezbollah claimed it was targeting an IDF base in the Golan Heights in response to an earlier IDF strike in Lebanon. Some of the rockets were intercepted and the rest fell in open areas, some likely in the area of Ramot Naftali and surrounding areas.",rockets,0,0
Rosh HaNikra,"33.0861, 35.1135",25-03-2024,"On 25 March 2024, Hezbollah forces in Lebanon fired at least five rockets toward Rosh HaNikra (Akko, HaZafon). No interceptions or direct hits to populated areas were reported, as the rockets fell in open areas near Rosh HaNikra.",rockets,0,0
Metulla,"33.2792, 35.5795",25-03-2024,"On 25 March 2024, Hezbollah forces in Lebanon fired rockets toward Metulla (Zefat, HaZafon). No interceptions or direct hits to populated areas were reported, as the rockets likely fell in open areas near Metulla.",rockets,0,0
Menara,"33.1969, 35.5439",25-03-2024,"On 25 March 2024, Hezbollah forces in Lebanon fired about 15 rockets toward IDF posts in the area of Menara (Zefat, HaZafon). The rockets fell in open areas near Menara.",rockets,0,0
Kiryat Shmona,"33.2073, 35.572",25-03-2024,"On 25 March 2024, Hezbollah forces in Lebanon claimed to have shelled a group of IDF soldiers near Kiryat Shmona (Zefat, HaZafon). There were no casualties.",unknown,0,0
Metulla,"33.2792, 35.5795",24-03-2024,"On 24 March 2024, Hezbollah forces in Lebanon fired two anti-tank missiles toward Metulla (Zefat, HaZafon). No interceptions or direct hits to populated areas were reported, as the missiles likely fell in open areas near Metulla. Hezbollah forces targeted a \",missiles,0,0
Shetula,"33.0852, 35.3149",24-03-2024,"On 24 March 2024, Hezbollah forces in Lebanon fired three anti-tank missiles toward Shetula (Akko, HaZafon) and the Ramim Ridge. No interceptions or direct hits to populated areas were reported, as the missiles likely fell in open areas near Shetula and Menara. In retaliation, Israeli military forces struck the launch sites with artillery fire.",missiles,0,0
Menara,"33.1969, 35.5439",24-03-2024,"On 24 March 2024, Hezbollah forces in Lebanon fired three anti-tank missiles toward Shetula and the Ramim Ridge, near Menara (Zefat, HaZafon). No interceptions or direct hits to populated areas were reported, as the missiles likely fell in open areas near Shetula and Menara. In retaliation, Israeli military forces struck the launch sites with artillery fire.",missiles,0,0
Snir,"33.2407, 35.6773",24-03-2024,"On 24 March 2024, Hezbollah forces in Lebanon fired at least 50 rockets toward the Golan Heights and northern Israel, including Snir (Zefat, HaZafon). Hezbollah forces claimed to have fired 60 rockets, but the IDF \",rockets,0,0
Kefar Blum,"33.1717, 35.6098",23-03-2024,"On 23 March 2024, two armed UAVs fired by Hezbollah forces in Lebanon exploded near Kefar Blum (Zefat, HaZafon). The impacts of the UAVs caused fires. No casualties occurred. Hezbollah forces claimed to have targeted an iron dome battery with the explosive-laden drones.",drone,0,0
Margaliyyot,"33.2147, 35.5449",23-03-2024,"On 23 March 2024, Hezbollah forces in Lebanon fired at least three rockets toward Margaliyyot (Zefat, HaZafon) and Misgav Am. Some of the rockets were intercepted, while other rockets likely fell in open areas near Margaliyyot and Misgav Am.",rockets,0,0
Shomera,"33.0827, 35.2838",23-03-2024,"On 23 March 2024, Hezbollah forces in Lebanon fired several rockets toward Shomera (Akko, HaZafon). No interceptions or direct hits to populated areas were reported, as the rockets likely fell in open areas near Shomera.",rockets,0,0
Misgav Am,"33.2474, 35.5489",23-03-2024,"On 23 March 2024, Hezbollah forces in Lebanon fired at least three rockets toward Margaliyyot and Misgav Am (Zefat, HaZafon). Some of the rockets were intercepted, while other rockets likely fell in open areas near Margaliyyot and Misgav Am.",rockets,0,0
Adamit,"33.0797, 35.211",22-03-2024,"Interception: On 22 March 2024, Israeli military forces intercepted a \",unknown,0,0
Metulla,"33.2792, 35.5795",22-03-2024,"On 22 March 2024, Hezbollah forces in Lebanon fired several rockets toward Metulla (Zefat, HaZafon) and surrounding areas. No interceptions or direct hits to populated areas were reported, as the rockets likely fell in open areas near Metulla. In retaliation, Israeli military forces shelled the launch sites.",rockets,0,0
Hanita,"33.0875, 35.1736",22-03-2024,"Interception: On 22 March 2024, Israeli military forces intercepted a \",unknown,0,0
Shlomi,"33.0726, 35.1458",21-03-2024,"On 21 March 2024, Hezbollah forces in Lebanon fired two rockets toward Shlomi (Akko, HaZafon). One of the rockets was intercepted and the second rocket fell in an open area near Shlomi.",rockets,0,0
Avivim,"33.0889, 35.4723",21-03-2024,"On 21 March 2024, Hezbollah forces in Lebanon fired three rockets toward Avivim (Zefat, HaZafon). The rockets fell in open areas near Avivim. In retaliation, Israeli military forces struck the launch sites.",rockets,0,0
Dovev,"33.0522, 35.4081",21-03-2024,"On 21 March 2024, Hezbollah forces in Lebanon fired several mortar shells toward Dovev (Zefat, HaZafon). No interceptions or direct hits to populated areas were reported, as the mortars likely fell in open areas near Dovev. In retaliation, Israeli military forces struck the launch sites.",mortar,0,0
Metulla,"33.2792, 35.5795",21-03-2024,"On 21 March 2024, Hezbollah forces in Lebanon fired four anti-tank missiles at Metulla (Zefat, HaZafon). As a result of direct hits, a hotel in Metulla sustained property damage. No casualties occurred. In retaliation, Israeli military forces struck the launch sites.",missiles,0,0
Ramot Naftali,"33.1015, 35.5532",21-03-2024,"On 21 March 2024, Hezbollah forces in Lebanon fired two rockets toward Ramot Naftali (Zefat, HaZafon). No interceptions or direct hits to populated areas were reported, as the rockets likely fell in open areas near Ramot Naftali.",rockets,0,0
Kiryat Shmona,"33.2073, 35.572",21-03-2024,"On 21 March 2024, Hezbollah militants in Lebanon fired two rockets toward Kiryat Shmona (Zefat, HaZafon) and surrounding towns. One of the rockets was intercepted and the second one fell in open area, likely near Kiryat Shmona. In retaliation, Israeli military forces struck the launch sites.",rockets,0,0
Yiftah,"33.1288, 35.5523",21-03-2024,"On 21 March 2024, Hezbollah forces in Lebanon fired one projectile towards Yiftah (Zefat, HaZafon). No interceptions or direct hits to populated areas were reported, as the projectile likely fell in an open area near Yiftah. In retaliation, Israeli military forces struck the launch site.",projectile,0,0
Yiron,"33.0776, 35.4546",20-03-2024,"On 20 March 2024, Hezbollah forces in Lebanon fired a number of rockets toward Yiron (Zefat, HaZafon), Misgav Am, Margaliyyot, and surrounding towns. No interceptions or direct hits to populated areas were reported, as at least two rockets fell in open areas near Yiron, Misgav Am, and Margaliyyot. In retaliation, Israeli military forces struck the launch sites.",rockets,0,0
Margaliyyot,"33.2147, 35.5449",20-03-2024,"On 20 March 2024, Hezbollah forces in Lebanon fired a number of rockets toward Yiron, Misgav Am, Margaliyyot (Zefat, HaZafon), and surrounding towns. No interceptions or direct hits to populated areas were reported, as at least two rockets fell in open areas near Yiron, Misgav Am, and Margaliyyot. In retaliation, Israeli military forces struck the launch sites.",rockets,0,0
Misgav Am,"33.2474, 35.5489",20-03-2024,"On 20 March 2024, Hezbollah forces in Lebanon fired a number of rockets toward Yiron, Misgav Am (Zefat, HaZafon), Margaliyyot, and surrounding towns. No interceptions or direct hits to populated areas were reported, as at least two rockets fell in open areas near Yiron, Misgav Am, and Margaliyyot. In retaliation, Israeli military forces struck the launch sites.",rockets,0,0
Zomet Gome,"33.1698, 35.5694",19-03-2024,"On 19 March 2024, Hezbollah forces in Lebanon fired about 15 rockets and mortar shells toward Menara and surrounding areas, including Zomet Gome (Zefat, HaZafon). Some of the rockets fell in open areas near Zomet Gome. In retaliation, Israeli military forces struck the launch sites with artillery fire.",rockets,0,0
Zarit,"33.0996, 35.2889",19-03-2024,"On 19 March 2024, Hezbollah forces in Lebanon fired rockets toward Zarit (Akko, HaZafon). No interceptions or direct hits to populated areas were reported, as the rockets likely fell in open areas near Zarit.",rockets,0,0
Shetula,"33.0852, 35.3149",19-03-2024,"Interception: On 19 March 2024, Israeli military forces intercepted a \",unknown,0,0
Menara,"33.1969, 35.5439",19-03-2024,"On 19 March 2024, Hezbollah forces in Lebanon fired about 15 rockets and mortar shells toward Menara (Zefat, HaZafon) and surrounding areas. Two soldiers were wounded as a result of the rocket fire. Some of the rockets also fell in open areas near Menara. In retaliation, Israeli military forces struck the launch sites with artillery fire.",rockets,0,0
Kefar Blum,"33.1717, 35.6098",18-03-2024,"Interception: On 18 March 2024, sirens for suspected drone infiltration sounded in the Galilee Panhandle, including Kefar Blum (Zefat, HaZafon) and surrounding towns. An interceptor missile was launched and the IDF stated that the \",drone,0,0
Menara,"33.1969, 35.5439",18-03-2024,"On 18 March 2024, Hezbollah forces in Lebanon fired several projectiles toward Menara (Zefat, HaZafon). No interceptions or direct hits to populated areas were reported, as the projectiles likely fell in open areas near Menara. Israeli military forces struck the launch sites with artillery fire.",projectile,0,0
Yiftah,"33.1288, 35.5523",18-03-2024,"On 18 March 2024, Hezbollah forces in Lebanon fired several projectiles toward Yiftah (Zefat, HaZafon). No interceptions or direct hits to populated areas were reported, as the projectiles likely fell in open areas near Yiftah. Israeli military forces struck the launch sites with artillery fire.",projectile,0,0
