Location,Date,Description,Weaponry,Casulties,Shot Down
Al Wazzani,09-12-2023,"On 9 December 2023, an Israeli \",unknown,0,0
Kfar Hamam,09-12-2023,"On 9 December 2023, Israeli artillery targeted the outskirts of Kfar Hamam (Hasbeiya). There were no casualties.",unknown,0,0
Khiyam,09-12-2023,"On 9 December 2023, Israeli artillery targeted the \",unknown,0,0
Ramieh,09-12-2023,"On 9 December 2023, Israeli fighter jets struck the areas between Ramieh (Bint Jbeil) and Marwahin. There were no casualties.",unknown,0,0
Ramieh,09-12-2023,"On 9 December 2023, Israeli fighter jets struck the outskirts of Ramieh (Bint Jbeil). There were no casualties.",unknown,0,0
Aita ech Chaab,09-12-2023,"On 9 December 2023, shortly after midnight, Israeli fighter jets struck the outskirts of Aita ech Chaab (Bint Jbeil) multiple times, hitting a Hezbollah fighter, who was announced dead hours later.",unknown,0,0
Maroun er Ras,08-12-2023,"On 8 December 2023, overnight, an Israeli \",unknown,0,0
Aadayseh Marjayoun,08-12-2023,"On 8 December 2023, Israeli artillery targeted the town of Aadayseh Marjayoun (Marjayoun), damaging a building. There were no casualties.",unknown,0,0
Blida,08-12-2023,"On 8 December 2023, Israeli artillery targeted the town of Blida (Marjayoun). There were no casualties.",unknown,0,0
Ed Dhayra,08-12-2023,"On 8 December 2023, Israeli artillery targeted the town of Ed Dhayra (Tyr). There were no casualties.",unknown,0,0
Kfar Chouba,08-12-2023,"On 8 December 2023, Israeli artillery targeted the town of Kfar Chouba (Hasbeiya). There were no casualties.",unknown,0,0
Houla,08-12-2023,"On 8 December 2023, Israeli artillery targeted the town of Houla (Marjayoun). There were no casualties.",unknown,0,0
Markaba,08-12-2023,"On 8 December 2023, Israeli artillery targeted the town of Markaba (Marjayoun). There were no casualties.",unknown,0,0
Aitaroun,08-12-2023,"On 8 December 2023, Israeli artillery targeted the town of Aitaroun (Bint Jbeil). There were no casualties.",unknown,0,0
Ras al Naqoura,08-12-2023,"On 8 December 2023, Israeli artillery targeted the town of Ras al Naqoura (Tyr). There were no casualties. Later during the day, Israeli artillery targeted a Lebanese army vehicle in the town, injuring 3 soldiers.",unknown,1,0
Mhaibib,08-12-2023,"On 8 December 2023, Israeli artillery targeted the town of Mhaibib (Marjayoun). There were no casualties.",unknown,0,0
Labbouneh,08-12-2023,"On 8 December 2023, Israeli artillery targeted the town of Labbouneh (Tyr). There were no casualties.",unknown,0,0
Deir Mimas,08-12-2023,"On 8 December 2023, at dawn, Israeli military forces used machinegun fire and artillery to target the outskirts of Deir Mimas (Marjayoun). There were no casualties.",unknown,0,0
Kfar Kila,08-12-2023,"On 8 December 2023, at dawn, Israeli military forces used machinegun fire and artillery to target the outskirts of Kfar Kila (Marjayoun). There were no casualties.",unknown,0,0
El Hamames,08-12-2023,"On 8 December 2023, an Israeli drone struck the El Hamames hill (Marjayoun). There were no casualties.",drone,0,0
Marwahin,08-12-2023,"On 8 December 2023, Israeli artillery targeted the outskirts of Marwahin (Tyr). There were no casualties.",unknown,0,0
Fradis,08-12-2023,"On 8 December 2023, Israeli artillery targeted the outskirts of Fradis (Hasbeiya). There were no casualties.",unknown,0,0
Ain Ebel,08-12-2023,"On 8 December 2023, Israeli artillery targeted the outskirts of Ain Ebel (Bint Jbeil). There were no casualties. Later, Israeli artillery targeted a Lebanese army health center in the town. There were no casualties.",unknown,0,0
Rab el Thalathine,08-12-2023,"On 8 December 2023, Israeli artillery targeted the outskirts of Rab el Thalathine (Marjayoun). There were no casualties.",unknown,0,0
Marwahin,08-12-2023,"On 8 December 2023, overnight, an Israeli \",unknown,0,0
Tayr Harfa,08-12-2023,"On 8 December 2023, Israeli artillery targeted the outskirts of Tayr Harfa (Tyr). There were no casualties.",unknown,0,0
Ras al Naqoura,08-12-2023,"On 8 December 2023, Israeli artillery targeted the \",unknown,0,0
Mays el Jabal,08-12-2023,"On 8 December 2023, Israeli artillery targeted the areas of \",unknown,0,0
Mays el Jabal,08-12-2023,"On 8 December 2023, Israeli artillery targeted the outskirts of Mays el Jabal (Marjayoun). There were no casualties.",unknown,0,0
Aalma Ech Chaab,08-12-2023,"On 8 December 2023, Israeli artillery targeted the outskirts of Aalma Ech Chaab (Tyr). There were no casualties.",unknown,0,0
Kounine,08-12-2023,"On 8 December 2023, Israeli artillery targeted the outskirts of Kounine (Bint Jbeil). There were no casualties.",unknown,0,0
Boustane,08-12-2023,"On 8 December 2023, Israeli artillery targeted the outskirts of Boustane (Tyr), injuring a civilian.",unknown,1,0
Boustane,08-12-2023,"On 8 December 2023, Israel forces and Hezbollah exchanged rocket fire at \",unknown,0,0
Chihhine,08-12-2023,"On 8 December 2023, Israeli artillery targeted the town of Chihhine (Tyr). There were no casualties.",unknown,0,0
Zebqine,08-12-2023,"On 8 December 2023, Israeli artillery targeted the outskirts of Zebqine (Tyr). There were no casualties.",unknown,0,0
Bani Haiyan,08-12-2023,"On 8 December 2023, Israeli artillery targeted the outskirts of Bani Haiyan (Marjayoun). There were no casualties.",unknown,0,0
Jbal el Botm,08-12-2023,"On 8 December 2023, Israeli artillery targeted the outskirts of Jbal el Botm (Tyr). There were no casualties.",unknown,0,0
Rachaya al Foukhar,08-12-2023,"On 8 December 2023, Israeli artillery targeted the town of Rachaya al Foukhar (Hasbeiya), injuring an individual.",unknown,1,0
Khiyam,08-12-2023,"On 8 December 2023, Israeli artillery targeted the outskirts of Khiyam (Marjayoun). There were no casualties. At dawn of the same day, Israeli military forces had used machineguns and artillery to target the outskirts of the town. There were no casualties.",unknown,0,0
Aita ech Chaab,08-12-2023,"On 8 December 2023, Israeli artillery targeted the outskirts of Aita ech Chaab (Bint Jbeil). There were no casualties.",unknown,0,0
Ramieh,08-12-2023,"On 8 December 2023, Israeli artillery targeted the outskirts of Ramieh (Bint Jbeil). There were no casualties.",unknown,0,0
Rmaysh,08-12-2023,"On 8 December 2023, Israeli artillery targeted the outskirts of Rmaysh (Bint Jbeil) with white phosphorus. There were no casualties. HRW and other international organizations have accused Israel of using white phosphorous bombs in this attack.",unknown,0,0
Majdel Selm,08-12-2023,"On 8 December 2023, Israeli artillery targeted the outskirts of Majdel Selm (Marjayoun). There were no casualties.",unknown,0,0
Kfar Hamam,08-12-2023,"On 8 December 2023, Israeli artillery targeted the outskirts of Kfar Hamam (Hasbeiya). There were no casualties.",unknown,0,0
El Habbariye,08-12-2023,"On 8 December 2023, Israeli artillery targeted the outskirts of El Habbariye (Hasbeiya). There were no casualties.",unknown,0,0
El Hamames,07-12-2023,"On 7 December 2023, Israeli artillery targeted the outskirts of El Hamames (Marjayoun), injuring a civilian who was hospitalized. Israeli military forces also targeted the hill in the town with heavy machinegun fire.",unknown,1,0
Kounine,07-12-2023,"On 7 December 2023, Israeli fighter jets conducted a number of airstrikes on the outskirts of Kounine (Bint Jbeil) targeting houses, while Israeli artillery simultaneously shelled the town. A number of civilians including students were lightly indirectly injured from the shelling.",airstrike,0,0
Bent Jbeil,07-12-2023,"On 7 December 2023, Israeli artillery targeted \",unknown,0,0
Aalma Ech Chaab,07-12-2023,"On 7 December 2023, Israeli artillery targeted the outskirts of Aalma Ech Chaab (Tyr). There were no casualties.",unknown,0,0
Tayr Harfa,07-12-2023,"On 7 December 2023, Israeli artillery targeted the outskirts of Tayr Harfa (Tyr). There were no casualties.",unknown,0,0
Ed Dhayra,07-12-2023,"On 7 December 2023, Israeli artillery targeted the outskirts of Ed Dhayra (Tyr). There were no casualties.",unknown,0,0
Blida,07-12-2023,"On 7 December 2023, Hezbollah announced the death of 3 fighters (likely from Israeli shelling due to the ongoing cross-border skirmishes). Coded to Blida.",shelling,0,0
Ras al Naqoura,07-12-2023,"On 7 December 2023, Israeli artillery targeted the \",unknown,0,0
Yaroun,07-12-2023,"On 7 December 2023, Israeli artillery targeted the outskirts of Yaroun (Bint Jbeil). There were no casualties.",unknown,0,0
Ras al Naqoura,07-12-2023,"On 7 December 2023, Israeli artillery targeted the outskirts of Ras al Naqoura (Tyr). There were no casualties.",unknown,0,0
Kfar Kila,07-12-2023,"On 7 December 2023, Israeli artillery targeted the outskirts of Kfar Kila (Marjayoun). There were no casualties.",unknown,0,0
Aadayseh Marjayoun,07-12-2023,"On 7 December 2023, Israeli artillery targeted the outskirts of Aadayseh Marjayoun (Marjayoun). There were no casualties.",unknown,0,0
Majdel Zoun,07-12-2023,"On 7 December 2023, Israeli fighter jets struck a house in Majdel Zoun (Tyr), presumably killing a Hezbollah fighter and injuring 3 others. Hezbollah announced one of its fighter was dead early the next day.",unknown,1,0
Marwahin,07-12-2023,"On 7 December 2023, an Israeli drone struck the outskirts of Marwahin (Tyr). There were no casualties.",drone,0,0
Maroun er Ras,07-12-2023,"On 7 December 2023, Israeli artillery targeted the outskirts of Maroun er Ras (Bint Jbeil). There were no casualties.",unknown,0,0
Houla,07-12-2023,"On 7 December 2023, Israeli artillery targeted the outskirts of Houla (Marjayoun). There were no casualties.",unknown,0,0
Markaba,07-12-2023,"On 7 December 2023, Israeli artillery targeted the outskirts of Markaba (Marjayoun). There were no casualties.",unknown,0,0
Bent Jbeil,07-12-2023,"On 7 December 2023, Israeli fighter jets struck the \",unknown,0,0
Jebbayn,07-12-2023,"On 7 December 2023, Israeli artillery targeted the outskirts of Jebbayn (Tyr). There were no casualties.",unknown,0,0
Labbouneh,07-12-2023,"On 7 December 2023, Israeli artillery targeted the outskirts of Labbouneh (Tyr). There were no casualties.",unknown,0,0
Deir Mimas,07-12-2023,"On 7 December 2023, Israeli artillery targeted areas between Deir Mimas (Marjayoun) and Kfar Kila. There were no casualties.",unknown,0,0
Qouzah,07-12-2023,"On 7 December 2023, Israeli artillery targeted the outskirts of Qouzah (Bint Jbeil). There were no casualties.",unknown,0,0
Blida,07-12-2023,"On 7 December 2023, the PIJ announced the death of 2 Al Quds brigades fighters in south Lebanon (likely due to Israeli shelling amid the ongoing cross-border skirmishes). Coded to Blida.",shelling,0,0
Aalma Ech Chaab,07-12-2023,"On 7 December 2023, an Israeli drone struck a crew of medics in the western sector of south Lebanon. There were no casualties. Coded to Aalma Ech Chaab (Tyr).",drone,0,0
Beit Lif,07-12-2023,"On 7 December 2023, Israeli artillery targeted the outskirts of Beit Lif (Bint Jbeil). There were no casualties.",unknown,0,0
Chihhine,07-12-2023,"On 7 December 2023, Israeli artillery targeted the outskirts of Chihhine (Tyr). There were no casualties.",unknown,0,0
Beit Lif,07-12-2023,"On 7 December 2023, at around 23:00, Israeli fighter jets struck the outskirts of Beit Lif (Bint Jbeil). There were no casualties.",unknown,0,0
Zebqine,07-12-2023,"On 7 December 2023, at around 23:00, Israeli fighter jets struck the outskirts of Zebqine (Tyr). There were no casualties.",unknown,0,0
Bani Haiyan,07-12-2023,"On 7 December 2023, Israeli artillery targeted the outskirts of Bani Haiyan (Marjayoun). There were no casualties.",unknown,0,0
Marjayoun,07-12-2023,"On 7 December 2023, Israeli heavy artillery targeted the plains of Marjayoun (Marjayoun). There were no casualties.",unknown,0,0
Aita ech Chaab,07-12-2023,"On 7 December 2023, Israeli fighter jets conducted multiple airstrikes on the outskirts of Aita ech Chaab (Bint Jbeil). There were no casualties.",airstrike,0,0
Ramieh,07-12-2023,"On 7 December 2023, Israeli artillery targeted the outskirts of Ramieh (Bint Jbeil). There were no casualties.",unknown,0,0
Khiyam,07-12-2023,"On 7 December 2023, an Israeli drone struck the outskirts of Khiyam (Marjayoun). There were no casualties.",drone,0,0
Ramieh,07-12-2023,"On 7 December 2023, an Israeli drone struck the outskirts of Ramieh (Bint Jbeil). There were no casualties.",drone,0,0
Majdel Selm,07-12-2023,"On 7 December 2023, Israeli artillery targeted the outskirts of Majdel Selm (Marjayoun). There were no casualties.",unknown,0,0
Rmaysh,07-12-2023,"On 7 December 2023, Israeli artillery targeted the outskirts of Rmaysh (Bint Jbeil) with white phosphorus. There were no casualties. HRW and other international organizations have accused Israel of using white phosphorous bombs in this attack.",unknown,0,0
Aita ech Chaab,07-12-2023,"On 7 December 2023, Israeli artillery targeted the outskirts of Aita ech Chaab (Bint Jbeil). There were no casualties.",unknown,0,0
Kounine,06-12-2023,"On 6 December 2023, Israeli artillery targeted the forests of Kounine (Bint Jbeil). There were no casualties.",unknown,0,0
Blida,06-12-2023,"On 6 December 2023, Israeli artillery targeted the outskirts of Blida (Marjayoun). There were no casualties.",unknown,0,0
Yaroun,06-12-2023,"On 6 December 2023, Israeli artillery targeted the outskirts of Yaroun (Bint Jbeil). There were no casualties.",unknown,0,0
Maroun er Ras,06-12-2023,"On 6 December 2023, Israeli artillery targeted the outskirts of Maroun er Ras (Bint Jbeil). There were no casualties.",unknown,0,0
Aitaroun,06-12-2023,"On 6 December 2023, Israeli military forces targeted the outskirts of Aitaroun (Bint Jbeil) with mortar shells. There were no casualties. Earlier in the morning, Israeli artillery targeted the outskirts of the town. There were no casualties.",mortar,0,0
Mhaibib,06-12-2023,"On 6 December 2023, Israeli artillery targeted the outskirts of Mhaibib (Marjayoun). There were no casualties.",unknown,0,0
Ras al Naqoura,06-12-2023,"On 6 December 2023, Israeli artillery targeted the outskirts of Ras al Naqoura (Tyr) with 3 shells. There were no casualties.",shells,0,0
Fradis,06-12-2023,"On 6 December 2023, Israeli artillery targeted houses in the town of Fradis (Hasbeiya) with 2 shells that did not explode. There were no casualties.",shells,0,0
Labbouneh,06-12-2023,"On 6 December 2023, Israeli artillery targeted the outskirts of Labbouneh (Tyr). There were no casualties.",unknown,0,0
Jebbayn,06-12-2023,"On 6 December 2023, Israeli artillery targeted \",unknown,0,0
Yaroun,06-12-2023,"On 6 December 2023, an Israeli drone struck an area between Yaroun (Bint Jbeil) and Maroun er Ras, while Israeli artillery simultaneously targeted the same area. There were no casualties.",drone,0,0
Kfar Chouba,06-12-2023,"On 6 December 2023, Israeli artillery targeted the outskirts of Kfar Chouba (Hasbeiya). There were no casualties.",unknown,0,0
Tayr Harfa,06-12-2023,"On 6 December 2023, Israeli artillery targeted the outskirts of Tayr Harfa (Tyr). There were no casualties.",unknown,0,0
Jebbayn,06-12-2023,"On 6 December 2023, Israeli artillery targeted the outskirts of Jebbayn (Tyr). There were no casualties.",unknown,0,0
Qouzah,06-12-2023,"On 6 December 2023, Israeli artillery targeted the outskirts of Qouzah (Bint Jbeil). There were no casualties.",unknown,0,0
Houla,06-12-2023,"On 6 December 2023, Israeli artillery targeted \",unknown,0,0
Mays el Jabal,06-12-2023,"On 6 December 2023, Israeli artillery shelled the town of Mays el Jabal (Marjayoun), killing an unidentified person, likely a Hezbollah fighter, and injuring two others. Hezbollah announced one of its fighters was killed hours after the shelling.",shelling,1,0
Chihhine,06-12-2023,"On 6 December 2023, Israeli artillery targeted the outskirts of Chihhine (Tyr). There were no casualties.",unknown,0,0
Beit Lif,06-12-2023,"On 6 December 2023, Israeli artillery targeted the outskirts of Beit Lif (Bint Jbeil). There were no casualties.",unknown,0,0
Rachaya al Foukhar,06-12-2023,"On 6 December 2023, Israeli artillery targeted the outskirts of Rachaya al Foukhar (Hasbeiya). There were no casualties.",unknown,0,0
Marjayoun,06-12-2023,"On 6 December 2023, Israeli artillery targeted the plains of Marjayoun (Marjayoun). There were no casualties.",unknown,0,0
Hilta,06-12-2023,"On 6 December 2023, Israeli heavy artillery targeted the \",unknown,0,0
Kfar Hamam,06-12-2023,"On 6 December 2023, Israeli heavy artillery targeted the outskirts of Kfar Hamam (Hasbeiya). There were no casualties.",unknown,0,0
Aita ech Chaab,06-12-2023,"On 6 December 2023, an Israeli \",unknown,0,0
Khiyam,06-12-2023,"On 6 December 2023, Israeli artillery targeted the outskirts of Khiyam (Marjayoun). There were no casualties.",unknown,0,0
Hilta,06-12-2023,"On 6 December 2023, Israeli artillery targeted the farms on the outskirts of Hilta (Hasbeiya). There were no casualties.",unknown,0,0
Ramieh,06-12-2023,"On 6 December 2023, Israeli artillery targeted the outskirts of Ramieh (Bint Jbeil). There were no casualties.",unknown,0,0
Aita ech Chaab,06-12-2023,"On 6 December 2023, at around 22:45, Israeli fighter jets struck the outskirts of Aita ech Chaab (Bint Jbeil). There were no casualties.",unknown,0,0
Chebaa,06-12-2023,"On 6 December 2023, Israeli artillery targeted the outskirts of Chebaa (Hasbeiya). There were no casualties.",unknown,0,0
El Habbariye,06-12-2023,"On 6 December 2023, Israeli artillery targeted the outskirts of El Habbariye (Hasbeiya). There were no casualties.",unknown,0,0
Mays el Jabal,05-12-2023,"On 5 December 2023, Israeli artillery targeted the western outskirts of Mays el Jabal (Marjayoun) multiple times. There were no casualties. Israeli artillery also targeted a house on the eastern outskirts of town, lightly injuring a civilian.",unknown,1,0
Rab el Thalathine,05-12-2023,"On 5 December 2023, Israeli artillery targeted the outskirts of Rab el Thalathine (Marjayoun). There were no casualties.",unknown,0,0
Markaba,05-12-2023,"On 5 December 2023, Israeli artillery targeted the outskirts of Markaba (Marjayoun). There were no casualties.",unknown,0,0
Ras al Naqoura,05-12-2023,"On 5 December 2023, Israeli artillery targeted the southern and eastern outskirts of Ras al Naqoura (Tyr) multiple times during the day. There were no casualties.",unknown,0,0
Tayr Harfa,05-12-2023,"On 5 December 2023, Israeli artillery targeted the outskirts of Tayr Harfa (Tyr). There were no casualties.",unknown,0,0
Jebbayn,05-12-2023,"On 5 December 2023, Israeli artillery targeted the outskirts of Jebbayn (Tyr). There were no casualties.",unknown,0,0
Ras al Naqoura,05-12-2023,"On 5 December 2023, Israeli artillery targeted the \",unknown,0,0
Ras al Naqoura,05-12-2023,"On 5 December 2023, Israeli fighter jets struck the outskirts of Ras al Naqoura (Tyr). There were no casualties.",unknown,0,0
Umm Touteh,05-12-2023,"On 5 December 2023, Israeli artillery targeted the outskirts of Umm Touteh (Tyr). There were no casualties.",unknown,0,0
Majdel Zoun,05-12-2023,"On 5 December 2023, Israeli artillery targeted the outskirts of Majdel Zoun (Tyr). There were no casualties.",unknown,0,0
Aalma Ech Chaab,05-12-2023,"On 5 December 2023, Israeli fighter jets fired incendiary missiles towards the forests of Aalma Ech Chaab (Tyr). There were no casualties.",missiles,0,0
Marwahin,05-12-2023,"On 5 December 2023, Israeli fighter jets struck \",unknown,0,0
Labbouneh,05-12-2023,"On 5 December 2023, Israeli fighter jets struck Labbouneh (Tyr). There were no casualties.",unknown,0,0
Kfar Chouba,05-12-2023,"On 5 December 2023, Israeli artillery targeted the \",unknown,0,0
Ed Dhayra,05-12-2023,"On 5 December 2023, Israeli artillery targeted the outskirts of Ed Dhayra (Tyr). There were no casualties.",unknown,0,0
Marwahin,05-12-2023,"On 5 December 2023, Israeli artillery targeted the outskirts of Marwahin (Tyr). There were no casualties.",unknown,0,0
Mhaibib,05-12-2023,"On 5 December 2023, Israeli artillery targeted the outskirts of Mhaibib (Marjayoun). There were no casualties.",unknown,0,0
Deir Mimas,05-12-2023,"On 5 December 2023, Israeli artillery targeted the \",unknown,0,0
Qlayaa,05-12-2023,"On 5 December 2023, Israeli artillery targeted the outskirts of Qlayaa (Marjayoun). There were no casualties.",unknown,0,0
Deir Mimas,05-12-2023,"On 5 December 2023, Israeli artillery targeted the outskirts of Deir Mimas (Marjayoun). There were no casualties.",unknown,0,0
Arnoun,05-12-2023,"On 5 December 2023, Israeli artillery targeted a poultry farm near Arnoun (Al Nabatieh), killing a Syrian worker and injuring 2 of his family members.",unknown,1,0
Bent Jbeil,05-12-2023,"On 5 December 2023, Israeli artillery targeted the \",unknown,0,0
Aitaroun,05-12-2023,"On 5 December 2023, shortly after midnight, Israeli fighter jets struck the outskirts of Aitaroun (Bint Jbeil). There were no casualties.",unknown,0,0
Kfar Chouba,05-12-2023,"On 5 December 2023, shortly after midnight, Israeli fighter jets struck the outskirts of Kfar Chouba (Hasbeiya). There were no casualties.",unknown,0,0
El Hamames,05-12-2023,"On 5 December 2023, shortly after midnight, Israeli fighter jets struck the outskirts of El Hamames (Marjayoun). There were no casualties.",unknown,0,0
Aalma Ech Chaab,05-12-2023,"On 5 December 2023, Israeli artillery targeted the outskirts of Aalma Ech Chaab (Tyr). There were no casualties.",unknown,0,0
Aadayseh Marjayoun,05-12-2023,"On 5 December 2023, an Israeli tank targeted a Lebanese army barracks on \",unknown,0,0
Boustane,05-12-2023,"On 5 December 2023, Israeli artillery targeted the outskirts of Boustane (Tyr). There were no casualties.",unknown,0,0
Blida,05-12-2023,"On 5 December 2023, Israeli artillery targeted houses on the eastern outskirts of Blida (Marjayoun) with white phosphorus. There were no casualties. HRW and other international organizations have accused Israel of using white phosphorous bombs in this attack.",unknown,0,0
Mays el Jabal,05-12-2023,"On 5 December 2023, Israeli artillery targeted the \",unknown,0,0
Mays el Jabal,05-12-2023,"On 5 December 2023, overnight, an Israeli \",unknown,0,0
Houla,05-12-2023,"On 5 December 2023, overnight, Israeli artillery targeted the outskirts of Houla (Marjayoun) with white phosphorus. There were no casualties. HRW and other international organizations have accused Israel of using white phosphorous bombs in this attack.",unknown,0,0
Beit Lif,05-12-2023,"On 5 December 2023, Israeli artillery targeted the outskirts of Beit Lif (Bint Jbeil). There were no casualties.",unknown,0,0
Chihhine,05-12-2023,"On 5 December 2023, Israeli artillery targeted the vicinity of Chihhine (Tyr). There were no casualties.",unknown,0,0
Zebqine,05-12-2023,"On 5 December 2023, Israeli fighter jets struck the outskirts of Zebqine (Tyr). There were no casualties.",unknown,0,0
Yarine,05-12-2023,"On 5 December 2023, Israeli artillery targeted the outskirts of Yarine (Tyr). There were no casualties.",unknown,0,0
Yarine,05-12-2023,"On 5 December 2023, overnight, Israeli fighter jets struck the outskirts of Yarine (Tyr). There were no casualties.",unknown,0,0
Yater,05-12-2023,"On 5 December 2023, an Israeli drone struck an area west of Yater (Al Nabatieh). There were no casualties.",drone,0,0
Kfar Tebnit,05-12-2023,"On 5 December 2023, Israeli artillery targeted the \",unknown,0,0
Bani Haiyan,05-12-2023,"On 5 December 2023, Israeli artillery targeted the outskirts of Bani Haiyan (Marjayoun). There were no casualties.",unknown,0,0
Taybeh,05-12-2023,"On 5 December 2023, at around 23:00, Israeli artillery targeted the outskirts of Taybeh (Marjayoun). There were no casualties.",unknown,0,0
Rachaya al Foukhar,05-12-2023,"On 5 December 2023, Israeli artillery targeted the outskirts of Rachaya al Foukhar (Hasbeiya). There were no casualties.",unknown,0,0
Aita ech Chaab,05-12-2023,"On 5 December 2023, Israeli artillery targeted the \",unknown,0,0
Aita ech Chaab,05-12-2023,"On 5 December 2023, Israeli fighter jets struck the outskirts of Aita ech Chaab (Bint Jbeil). There were no casualties.",unknown,0,0
Ramieh,05-12-2023,"On 5 December 2023, Israeli fighter jets struck the outskirts of Ramieh (Bint Jbeil). There were no casualties.",unknown,0,0
Kfar Hamam,05-12-2023,"On 5 December 2023, Israeli artillery targeted the forests of Kfar Hamam (Hasbeiya). There were no casualties.",unknown,0,0
Khiyam,05-12-2023,"On 5 December 2023, Israeli artillery targeted the outskirts of Khiyam (Marjayoun). There were no casualties.",unknown,0,0
El Meri,05-12-2023,"On 5 December 2023, Israeli artillery targeted the outskirts of El Meri (Hasbeiya). There were no casualties.",unknown,0,0
Bustra,05-12-2023,"On 5 December 2023, Israeli artillery targeted the Bustra heights (Hasbeiya). There were no casualties.",unknown,0,0
Tell en Nhas,04-12-2023,"On 4 December 2023, an Israeli drone struck Tell en Nhas (Marjayoun). there were no casualties.",drone,0,0
El Hamames,04-12-2023,"On 4 December 2023, an Israeli drone struck El Hamames hill (Marjayoun), while Israeli artillery shelled the location at the same time. There were no casualties.",drone,0,0
Deir Mimas,04-12-2023,"On 4 December 2023, overnight, Israeli artillery targeted the outskirts of Deir Mimas (Marjayoun). There were no casualties.",unknown,0,0
Maroun er Ras,04-12-2023,"On 4 December 2023, overnight, Israeli artillery targeted the outskirts of Maroun er Ras (Bint Jbeil). There were no casualties.",unknown,0,0
Ras al Naqoura,04-12-2023,"On 4 December 2023, Israeli artillery targeted the \",unknown,0,0
Yaroun,04-12-2023,"On 4 December 2023, Israeli artillery targeted the forests of Yaroun (Bint Jbeil). There were no casualties.",unknown,0,0
Mays el Jabal,04-12-2023,"On 4 December 2023, Israeli artillery targeted the outskirts of Mays el Jabal (Marjayoun) multiple times throughout the day. There were no casualties.",unknown,0,0
Mhaibib,04-12-2023,"On 4 December 2023, Israeli artillery targeted the western outskirts of Mhaibib (Marjayoun). There were no casualties.",unknown,0,0
Labbouneh,04-12-2023,"On 4 December 2023, Israeli artillery targeted Labbouneh (Tyr) with a shell. There were no casualties.",unknown,0,0
Kfar Chouba,04-12-2023,"On 4 December 2023, Israeli fighter jets struck a farm on the outskirts of Kfar Chouba (Hasbeiya). There were no casualties.",unknown,0,0
Qouzah,04-12-2023,"On 4 December 2023, Israeli fighter jets struck the outskirts of Qouzah (Bint Jbeil). There were no casualties.",unknown,0,0
Tayr Harfa,04-12-2023,"On 4 December 2023, Israeli artillery targeted Tayr Harfa (Tyr) with a shell. There were no casualties.",unknown,0,0
Jebbayn,04-12-2023,"On 4 December 2023, Israeli artillery targeted the Jebbayn (Tyr) with a shell. There were no casualties.",unknown,0,0
Bent Jbeil,04-12-2023,"On 4 December 2023, an Israeli drone struck an empty house on the norther outskirts of Bent Jbeil (Bint Jbeil). A civilian was indirectly and lightly injured from scattered stones.",drone,0,0
Markaba,04-12-2023,"On 4 December 2023, Israeli artillery targeted the \",unknown,0,0
Ras al Naqoura,04-12-2023,"On 4 December 2023, Israeli artillery targeted the outskirts of Ras al Naqoura (Tyr) multiple times. There were no casualties.",unknown,0,0
Umm Touteh,04-12-2023,"On 4 December 2023, Israeli fighter jets struck an empty house in Umm Touteh (Tyr). There were no casualties.",unknown,0,0
Ras al Naqoura,04-12-2023,"On 4 December 2023, Israeli fighter jets struck the outskirts of Ras al Naqoura (Tyr) multiple times. There were no casualties.",unknown,0,0
Qouzah,04-12-2023,"On 4 December 2023, Israeli artillery targeted the outskirts of Qouzah (Bint Jbeil). There were no casualties.",unknown,0,0
Ed Dhayra,04-12-2023,"On 4 December 2023, Israeli artillery targeted the outskirts of Ed Dhayra (Tyr). There were no casualties.",unknown,0,0
Aalma Ech Chaab,04-12-2023,"On 4 December 2023, Israeli artillery targeted the outskirts of Aalma Ech Chaab (Tyr). There were no casualties.",unknown,0,0
Blida,04-12-2023,"On 4 December 2023, overnight, Israeli artillery targeted the outskirts of Blida (Marjayoun) with white phosphorus shells. There were no casualties. HRW and other international organizations have accused Israel of using white phosphorous bombs in this attack.",shells,0,0
Kfar Kila,04-12-2023,"On 4 December 2023, overnight, Israeli artillery targeted the outskirts of Kfar Kila (Marjayoun). There were no casualties. Earlier during the day, Israeli artillery targeted the town with white phosphorus shells. HRW and other international organizations have accused Israel of using white phosphorous bombs in this attack.",shells,0,0
Aadayseh Marjayoun,04-12-2023,"On 4 December 2023, Israeli fighter jets struck the outskirts of Aadayseh Marjayoun (Marjayoun) with white phosphorus shells. There were no casualties. HRW and other international organizations have accused Israel of using white phosphorous bombs in this attack.",shells,0,0
Kfar Kila,04-12-2023,"On 4 December 2023, Israeli artillery targeted the area between Kfar Kila (Marjayoun) and Aadayseh, with white phosphorus shells. There were no casualties. HRW and other international organizations have accused Israel of using white phosphorous bombs in this attack.",shells,0,0
Beit Lif,04-12-2023,"On 4 December 2023, Israeli artillery targeted the outskirts of Beit Lif (Bint Jbeil) with more than 100 shells. There were no casualties.",shells,0,0
Aita ech Chaab,04-12-2023,"On 4 December 2023, overnight, Israeli artillery targeted the outskirts of Aita ech Chaab (Bint Jbeil). There were no casualties. Earlier during the day, Israeli artillery targeted the outskirts of the town with incendiary bombs. There were no casualties.",unknown,0,0
Aita ech Chaab,04-12-2023,"On 4 December 2023, Israeli fighter jets struck the outskirts of Aita ech Chaab (Bint Jbeil). There were no casualties.",unknown,0,0
